,symbol,date,volume,market.cap,sector,industry,exchange
113,TXG,24/02/2020,306500,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
114,TXG,25/02/2020,559800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
115,TXG,26/02/2020,434300,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
116,TXG,27/02/2020,225800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
117,TXG,28/02/2020,314600,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
118,TXG,02/03/2020,418700,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
119,TXG,03/03/2020,331800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
120,TXG,04/03/2020,354800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
121,TXG,05/03/2020,340100,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
122,TXG,06/03/2020,3934700,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
123,TXG,09/03/2020,721000,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
124,TXG,10/03/2020,921800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
125,TXG,11/03/2020,1066300,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
126,TXG,12/03/2020,661300,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
127,TXG,13/03/2020,726100,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
128,TXG,16/03/2020,693500,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
129,TXG,17/03/2020,430700,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
130,TXG,18/03/2020,584500,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
131,TXG,19/03/2020,1125800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
132,TXG,20/03/2020,1342500,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
133,TXG,23/03/2020,1261400,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
134,TXG,24/03/2020,694200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
135,TXG,25/03/2020,535100,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
136,TXG,26/03/2020,307400,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
137,TXG,27/03/2020,148500,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
138,TXG,30/03/2020,418800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
139,TXG,31/03/2020,286200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
140,TXG,01/04/2020,424500,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
141,TXG,02/04/2020,344200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
142,TXG,03/04/2020,422200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
143,TXG,06/04/2020,628900,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
144,TXG,07/04/2020,607200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
145,TXG,08/04/2020,494400,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
146,TXG,09/04/2020,595100,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
147,TXG,13/04/2020,353100,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
148,TXG,14/04/2020,949900,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
149,TXG,15/04/2020,396300,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
150,TXG,16/04/2020,452100,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
151,TXG,17/04/2020,676000,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
152,TXG,20/04/2020,692400,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
153,TXG,21/04/2020,738500,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
154,TXG,22/04/2020,647800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
155,TXG,23/04/2020,631900,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
156,TXG,24/04/2020,701700,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
